zona,data,faixa_horaria,tipo_ocorrencia,clima,evento_especial,denuncias_app_ultimas_24h,anomalias_cameras_ultimas_24h,risco_ocorrencia,volume_estimado
Sudoeste/Octogonal,2025-07-14,12-18h,Furto,Chuva,Sim,19,1,29,2
Taguatinga,2025-07-18,18-23h,Furto,Chuva,Não,21,12,17,4
Arniqueira,2025-07-06,06-12h,Vandalismo,Chuva,Sim,2,2,77,1
Sobradinho II,2025-07-15,00-06h,Todos,Chuva,Não,1,13,4,4
Lago Sul,2025-07-12,06-12h,Vandalismo,Céu limpo,Não,25,3,21,10
Fercal,2025-06-23,12-18h,Vandalismo,Céu limpo,Não,19,7,47,8
SCIA/Estrutural,2025-07-06,18-23h,Todos,Chuva,Não,26,4,39,0
Fercal,2025-07-06,06-12h,Vandalismo,Céu limpo,Sim,4,14,44,3
Guará,2025-07-15,12-18h,Todos,Nublado,Sim,8,3,47,6
Recanto das Emas,2025-07-04,18-23h,Vandalismo,Chuva,Não,6,6,24,10
Riacho Fundo,2025-07-03,06-12h,Roubo,Nublado,Não,26,2,24,5
Águas Claras,2025-07-04,06-12h,Todos,Céu limpo,Sim,30,6,51,7
Park Way,2025-07-20,06-12h,Roubo,Céu limpo,Não,5,1,20,5
Lago Sul,2025-06-28,00-06h,Vandalismo,Céu limpo,Não,1,7,17,8
Planaltina,2025-06-26,06-12h,Todos,Nublado,Sim,7,6,37,4
Cruzeiro,2025-07-19,06-12h,Vandalismo,Céu limpo,Sim,24,7,39,3
São Sebastião,2025-06-25,00-06h,Todos,Chuva,Não,8,5,85,0
Sudoeste/Octogonal,2025-06-27,12-18h,Vandalismo,Chuva,Não,16,15,79,8
Lago Norte,2025-07-01,18-23h,Furto,Céu limpo,Não,27,10,58,10
SCIA/Estrutural,2025-07-01,06-12h,Vandalismo,Chuva,Sim,20,4,55,3
Itapoã,2025-07-11,18-23h,Roubo,Céu limpo,Sim,20,13,75,3
Águas Claras,2025-06-26,18-23h,Vandalismo,Nublado,Não,27,15,44,6
Guará,2025-07-15,12-18h,Vandalismo,Nublado,Sim,2,5,100,1
Samambaia,2025-06-26,06-12h,Vandalismo,Céu limpo,Não,2,15,94,3
Vicente Pires,2025-07-09,00-06h,Furto,Céu limpo,Sim,28,2,80,6
Lago Sul,2025-06-21,00-06h,Vandalismo,Céu limpo,Sim,25,4,6,3
SIA,2025-07-21,18-23h,Furto,Céu limpo,Não,6,14,85,1
Taguatinga,2025-07-12,00-06h,Todos,Chuva,Não,23,12,87,2
Taguatinga,2025-07-05,06-12h,Vandalismo,Nublado,Não,0,11,30,8
Sudoeste/Octogonal,2025-07-20,12-18h,Roubo,Chuva,Sim,7,14,5,4
Ceilândia,2025-06-21,06-12h,Vandalismo,Céu limpo,Sim,2,4,84,3
Asa Norte,2025-07-18,12-18h,Roubo,Céu limpo,Não,26,7,9,5
Jardim Botânico,2025-07-05,18-23h,Todos,Chuva,Sim,23,3,27,5
Sudoeste/Octogonal,2025-07-18,00-06h,Todos,Chuva,Não,25,8,55,10
Sobradinho II,2025-07-04,18-23h,Roubo,Chuva,Não,29,12,26,5
Brazlândia,2025-06-23,06-12h,Todos,Nublado,Sim,11,1,1,0
Gama,2025-07-15,06-12h,Roubo,Chuva,Não,10,15,45,8
Park Way,2025-07-02,00-06h,Roubo,Chuva,Sim,8,7,33,6
Asa Norte,2025-06-25,06-12h,Roubo,Chuva,Sim,28,6,27,8
Brazlândia,2025-07-02,18-23h,Todos,Céu limpo,Sim,24,3,36,9
SIA,2025-07-20,12-18h,Todos,Nublado,Não,8,0,59,6
Park Way,2025-07-03,00-06h,Todos,Céu limpo,Não,4,5,8,1
Taguatinga,2025-07-21,00-06h,Furto,Chuva,Não,1,5,12,1
Sobradinho,2025-06-23,18-23h,Roubo,Nublado,Sim,20,11,92,0
Ceilândia,2025-07-16,18-23h,Roubo,Chuva,Sim,3,4,28,1
Park Way,2025-07-09,12-18h,Furto,Chuva,Sim,9,10,8,9
SCIA/Estrutural,2025-07-07,00-06h,Vandalismo,Chuva,Sim,30,1,7,6
SCIA/Estrutural,2025-06-22,18-23h,Todos,Céu limpo,Não,18,8,21,4
Brazlândia,2025-07-04,18-23h,Furto,Chuva,Não,3,6,94,5
Taguatinga,2025-07-05,06-12h,Furto,Céu limpo,Não,19,6,33,4
Vicente Pires,2025-07-20,18-23h,Todos,Chuva,Sim,14,6,47,7
Riacho Fundo II,2025-07-18,12-18h,Vandalismo,Chuva,Sim,6,0,60,1
Jardim Botânico,2025-06-21,12-18h,Todos,Nublado,Não,23,8,47,8
Ceilândia,2025-07-21,06-12h,Vandalismo,Chuva,Não,28,5,51,6
Taguatinga,2025-07-12,06-12h,Todos,Céu limpo,Sim,8,0,17,9
Gama,2025-07-01,12-18h,Todos,Céu limpo,Sim,23,12,99,10
SCIA/Estrutural,2025-07-19,06-12h,Furto,Nublado,Não,29,5,12,0
Núcleo Bandeirante,2025-07-09,18-23h,Vandalismo,Chuva,Sim,22,14,89,10
Candangolândia,2025-07-10,00-06h,Todos,Céu limpo,Não,19,13,36,9
Santa Maria,2025-06-29,00-06h,Furto,Chuva,Sim,27,10,68,3
SCIA/Estrutural,2025-07-15,18-23h,Furto,Nublado,Não,4,5,6,1
Taguatinga,2025-06-23,18-23h,Furto,Céu limpo,Não,18,2,86,9
Candangolândia,2025-07-01,06-12h,Vandalismo,Chuva,Sim,27,3,49,1
Riacho Fundo II,2025-06-27,18-23h,Todos,Chuva,Sim,25,0,10,2
Jardim Botânico,2025-07-21,12-18h,Furto,Nublado,Não,0,5,50,8
Núcleo Bandeirante,2025-07-06,00-06h,Furto,Chuva,Sim,10,4,99,8
Asa Norte,2025-07-12,18-23h,Furto,Céu limpo,Sim,21,7,2,8
Cruzeiro,2025-06-28,06-12h,Todos,Chuva,Sim,18,1,95,2
Sol Nascente/Pôr do Sol,2025-07-20,06-12h,Vandalismo,Céu limpo,Sim,5,10,1,2
Fercal,2025-07-11,00-06h,Vandalismo,Chuva,Não,21,9,99,9
Águas Claras,2025-06-30,00-06h,Furto,Céu limpo,Sim,1,3,53,8
Plano Piloto,2025-06-21,12-18h,Todos,Céu limpo,Não,7,15,92,5
Núcleo Bandeirante,2025-07-18,06-12h,Furto,Chuva,Não,20,13,8,9
Lago Norte,2025-06-28,12-18h,Vandalismo,Céu limpo,Não,10,10,16,6
Lago Norte,2025-07-15,00-06h,Roubo,Céu limpo,Sim,21,6,12,9
SIA,2025-07-02,12-18h,Todos,Céu limpo,Sim,27,11,33,1
Guará,2025-06-22,06-12h,Todos,Chuva,Sim,30,8,13,3
Lago Sul,2025-06-29,00-06h,Roubo,Nublado,Não,24,7,70,0
Sobradinho,2025-07-19,00-06h,Vandalismo,Céu limpo,Não,13,8,25,4
Riacho Fundo II,2025-07-15,18-23h,Todos,Céu limpo,Não,13,1,85,2
Gama,2025-07-15,00-06h,Vandalismo,Chuva,Não,12,5,14,3
Sol Nascente/Pôr do Sol,2025-07-08,06-12h,Roubo,Chuva,Não,16,1,69,9
Sudoeste/Octogonal,2025-07-16,00-06h,Vandalismo,Nublado,Sim,23,8,35,7
Taguatinga,2025-07-11,06-12h,Vandalismo,Céu limpo,Sim,2,5,34,2
Vicente Pires,2025-07-18,18-23h,Furto,Chuva,Sim,20,4,90,5
Candangolândia,2025-06-28,18-23h,Roubo,Nublado,Sim,26,10,1,8
Park Way,2025-07-04,18-23h,Todos,Céu limpo,Sim,30,6,21,3
Asa Sul,2025-06-28,06-12h,Roubo,Céu limpo,Não,14,15,57,6
Santa Maria,2025-06-23,12-18h,Todos,Chuva,Não,29,3,84,4
Taguatinga,2025-07-14,00-06h,Roubo,Nublado,Não,4,4,45,6
Asa Sul,2025-07-12,18-23h,Vandalismo,Nublado,Não,11,11,54,4
Sudoeste/Octogonal,2025-06-22,00-06h,Roubo,Céu limpo,Não,26,10,10,3
Sobradinho,2025-06-30,06-12h,Todos,Céu limpo,Não,30,4,99,1
Santa Maria,2025-07-10,18-23h,Todos,Chuva,Não,11,5,19,8
Núcleo Bandeirante,2025-07-12,18-23h,Todos,Chuva,Sim,22,7,21,2
Águas Claras,2025-06-26,00-06h,Roubo,Nublado,Não,16,12,1,9
Ceilândia,2025-07-05,00-06h,Todos,Chuva,Não,10,2,94,3
Gama,2025-07-11,18-23h,Vandalismo,Nublado,Sim,12,4,36,3
Vicente Pires,2025-06-25,06-12h,Todos,Chuva,Não,1,12,66,4
Recanto das Emas,2025-06-26,06-12h,Furto,Céu limpo,Não,10,0,51,5
Riacho Fundo,2025-07-19,18-23h,Roubo,Chuva,Não,15,13,9,5
Sudoeste/Octogonal,2025-06-22,06-12h,Roubo,Céu limpo,Não,11,11,56,9
Sol Nascente/Pôr do Sol,2025-06-29,06-12h,Furto,Céu limpo,Não,1,0,63,0
Lago Norte,2025-07-06,00-06h,Roubo,Nublado,Não,23,0,44,5
Santa Maria,2025-07-04,12-18h,Vandalismo,Céu limpo,Não,20,10,26,1
Samambaia,2025-07-03,18-23h,Vandalismo,Nublado,Sim,8,8,42,5
Sobradinho,2025-07-01,12-18h,Roubo,Céu limpo,Não,26,11,68,8
Sobradinho,2025-07-17,00-06h,Vandalismo,Céu limpo,Sim,4,8,89,4
Recanto das Emas,2025-07-02,00-06h,Vandalismo,Nublado,Sim,21,15,45,1
Sol Nascente/Pôr do Sol,2025-07-18,06-12h,Roubo,Nublado,Não,28,0,56,8
Riacho Fundo II,2025-06-26,06-12h,Vandalismo,Céu limpo,Sim,11,0,65,0
Brazlândia,2025-07-15,06-12h,Vandalismo,Chuva,Não,11,0,34,8
Candangolândia,2025-06-21,18-23h,Roubo,Chuva,Não,15,7,38,6
Ceilândia,2025-06-21,06-12h,Roubo,Nublado,Sim,17,12,100,9
Park Way,2025-07-18,18-23h,Roubo,Céu limpo,Sim,26,13,10,6
Varjão,2025-06-27,18-23h,Vandalismo,Nublado,Sim,4,12,33,9
Itapoã,2025-07-14,12-18h,Furto,Nublado,Não,23,9,93,4
Riacho Fundo II,2025-06-23,06-12h,Todos,Chuva,Sim,12,2,3,0
Taguatinga,2025-06-29,18-23h,Vandalismo,Céu limpo,Não,30,6,56,2
Asa Sul,2025-06-25,12-18h,Roubo,Nublado,Não,3,14,82,7
SCIA/Estrutural,2025-07-01,12-18h,Todos,Nublado,Não,3,8,82,0
Brazlândia,2025-06-30,06-12h,Roubo,Nublado,Não,24,10,38,1
Jardim Botânico,2025-06-26,06-12h,Vandalismo,Céu limpo,Não,3,14,96,10
Taguatinga,2025-07-18,06-12h,Todos,Céu limpo,Não,1,10,81,8
Fercal,2025-07-12,18-23h,Vandalismo,Chuva,Sim,7,4,8,8
Asa Sul,2025-07-01,00-06h,Vandalismo,Chuva,Não,9,4,58,5
Riacho Fundo,2025-07-13,12-18h,Furto,Nublado,Sim,2,11,36,2
Águas Claras,2025-06-23,12-18h,Todos,Céu limpo,Sim,1,11,76,4
Lago Sul,2025-06-22,12-18h,Roubo,Céu limpo,Não,17,13,8,0
Plano Piloto,2025-07-16,06-12h,Furto,Céu limpo,Não,19,3,33,4
Riacho Fundo,2025-07-02,00-06h,Furto,Nublado,Não,27,6,20,9
Varjão,2025-07-09,00-06h,Roubo,Nublado,Sim,21,11,77,9
Sobradinho II,2025-06-24,12-18h,Furto,Céu limpo,Não,15,0,27,1
Águas Claras,2025-07-20,18-23h,Vandalismo,Nublado,Não,21,6,22,4
Riacho Fundo,2025-07-07,18-23h,Todos,Chuva,Não,1,12,84,5
Taguatinga,2025-06-24,06-12h,Furto,Nublado,Sim,15,4,80,3
Sobradinho II,2025-06-27,06-12h,Todos,Céu limpo,Sim,26,3,62,3
Arniqueira,2025-07-16,06-12h,Vandalismo,Chuva,Sim,27,5,15,9
Santa Maria,2025-07-18,18-23h,Furto,Céu limpo,Sim,20,2,48,10
Águas Claras,2025-06-27,00-06h,Vandalismo,Céu limpo,Sim,7,9,1,10
Samambaia,2025-07-05,00-06h,Furto,Céu limpo,Não,18,10,26,8
Asa Sul,2025-06-22,00-06h,Furto,Nublado,Não,14,2,72,9
Sobradinho,2025-07-20,06-12h,Furto,Nublado,Sim,12,6,49,3
Lago Sul,2025-07-17,18-23h,Todos,Céu limpo,Não,0,12,1,4
Jardim Botânico,2025-07-15,12-18h,Vandalismo,Nublado,Não,22,14,78,0
Guará,2025-06-24,06-12h,Todos,Nublado,Não,27,10,39,2
Sobradinho II,2025-07-11,06-12h,Todos,Chuva,Sim,3,6,31,4
Guará,2025-06-22,00-06h,Roubo,Chuva,Não,16,7,43,7
Sudoeste/Octogonal,2025-07-14,12-18h,Furto,Céu limpo,Não,22,0,7,7
Itapoã,2025-06-27,12-18h,Todos,Nublado,Não,28,10,89,2
Varjão,2025-06-28,00-06h,Furto,Céu limpo,Não,23,5,70,8
Jardim Botânico,2025-07-21,06-12h,Vandalismo,Chuva,Não,17,13,49,5
Brazlândia,2025-06-24,00-06h,Roubo,Chuva,Não,16,1,59,10
Sobradinho,2025-06-21,06-12h,Todos,Céu limpo,Não,14,2,74,0
Santa Maria,2025-07-17,06-12h,Roubo,Chuva,Sim,20,12,27,7
Samambaia,2025-06-29,00-06h,Vandalismo,Céu limpo,Não,23,12,13,2
Brazlândia,2025-07-06,00-06h,Vandalismo,Nublado,Sim,21,3,24,2
Cruzeiro,2025-06-21,12-18h,Roubo,Céu limpo,Sim,6,3,21,7
Lago Norte,2025-07-21,18-23h,Roubo,Chuva,Não,4,0,23,1
Guará,2025-07-21,00-06h,Roubo,Nublado,Não,4,5,67,8
Lago Sul,2025-07-03,12-18h,Furto,Nublado,Sim,19,12,37,9
Planaltina,2025-07-13,00-06h,Roubo,Chuva,Não,8,7,97,7
Candangolândia,2025-07-08,06-12h,Furto,Nublado,Não,3,8,24,2
Ceilândia,2025-07-14,12-18h,Vandalismo,Céu limpo,Não,15,0,11,9
Riacho Fundo II,2025-06-26,06-12h,Todos,Nublado,Não,20,12,87,3
Recanto das Emas,2025-07-20,12-18h,Vandalismo,Nublado,Sim,10,9,38,10
Guará,2025-06-29,06-12h,Roubo,Chuva,Não,7,13,15,7
Sobradinho,2025-07-20,00-06h,Todos,Céu limpo,Sim,9,0,66,2
Jardim Botânico,2025-06-29,12-18h,Roubo,Chuva,Sim,23,1,97,2
Taguatinga,2025-06-29,18-23h,Furto,Chuva,Não,11,3,91,10
Arniqueira,2025-07-15,06-12h,Todos,Chuva,Sim,4,1,5,7
Núcleo Bandeirante,2025-07-04,18-23h,Vandalismo,Céu limpo,Sim,27,13,65,1
Planaltina,2025-07-12,06-12h,Furto,Chuva,Sim,29,8,22,6
Candangolândia,2025-06-29,12-18h,Roubo,Céu limpo,Não,20,12,67,3
Riacho Fundo II,2025-07-13,00-06h,Furto,Chuva,Sim,0,2,20,0
Núcleo Bandeirante,2025-07-10,06-12h,Todos,Céu limpo,Não,18,11,85,9
Sobradinho II,2025-06-21,12-18h,Vandalismo,Céu limpo,Sim,6,10,39,7
Varjão,2025-07-10,00-06h,Todos,Céu limpo,Não,21,12,82,6
Arniqueira,2025-06-29,06-12h,Vandalismo,Céu limpo,Sim,26,0,80,0
Sobradinho II,2025-07-10,12-18h,Roubo,Chuva,Sim,23,9,93,10
Vicente Pires,2025-07-03,06-12h,Vandalismo,Céu limpo,Sim,20,0,87,6
Santa Maria,2025-06-25,00-06h,Furto,Nublado,Sim,28,3,4,3
Riacho Fundo,2025-07-12,00-06h,Furto,Nublado,Sim,13,10,8,8
Guará,2025-06-25,00-06h,Todos,Chuva,Sim,9,14,5,7
Fercal,2025-06-22,12-18h,Todos,Céu limpo,Não,24,14,88,2
SCIA/Estrutural,2025-06-21,12-18h,Roubo,Céu limpo,Sim,14,5,30,2
Park Way,2025-06-26,12-18h,Furto,Chuva,Sim,20,9,79,1
Itapoã,2025-07-17,12-18h,Furto,Chuva,Não,3,3,77,1
Varjão,2025-07-07,06-12h,Todos,Nublado,Não,17,2,94,8
Riacho Fundo,2025-07-21,00-06h,Vandalismo,Céu limpo,Não,18,15,0,8
Brazlândia,2025-07-03,12-18h,Furto,Nublado,Sim,12,0,49,6
Plano Piloto,2025-07-18,18-23h,Todos,Chuva,Sim,1,8,61,5
Arniqueira,2025-06-29,18-23h,Todos,Céu limpo,Sim,9,13,1,7
Lago Norte,2025-06-23,00-06h,Furto,Chuva,Não,4,15,87,5
Núcleo Bandeirante,2025-07-06,12-18h,Furto,Nublado,Não,16,12,15,4
Sobradinho II,2025-07-11,06-12h,Vandalismo,Céu limpo,Não,26,7,72,7
Recanto das Emas,2025-06-25,06-12h,Roubo,Céu limpo,Sim,16,12,71,6
Riacho Fundo II,2025-07-15,12-18h,Roubo,Céu limpo,Não,21,13,47,5
Recanto das Emas,2025-07-02,18-23h,Furto,Chuva,Sim,1,3,9,7
Itapoã,2025-07-20,12-18h,Todos,Chuva,Sim,11,13,27,1
Itapoã,2025-06-21,18-23h,Todos,Nublado,Sim,12,7,41,10
Candangolândia,2025-07-04,12-18h,Todos,Céu limpo,Não,16,11,43,0
Sobradinho II,2025-06-23,00-06h,Vandalismo,Céu limpo,Sim,16,13,75,8
Samambaia,2025-07-11,06-12h,Roubo,Céu limpo,Sim,21,1,63,9
Taguatinga,2025-07-18,00-06h,Todos,Nublado,Sim,11,10,12,3
Asa Sul,2025-06-29,00-06h,Furto,Chuva,Não,14,3,26,0
Asa Norte,2025-06-23,18-23h,Roubo,Céu limpo,Não,30,6,56,9
Sobradinho,2025-07-02,18-23h,Vandalismo,Chuva,Não,2,10,5,2
SCIA/Estrutural,2025-07-20,00-06h,Todos,Céu limpo,Sim,9,6,76,5
Asa Sul,2025-07-02,06-12h,Todos,Céu limpo,Sim,1,1,84,9
Asa Norte,2025-07-04,12-18h,Furto,Céu limpo,Não,6,5,98,0
Fercal,2025-07-09,12-18h,Roubo,Céu limpo,Não,19,15,41,7
Recanto das Emas,2025-07-14,00-06h,Todos,Céu limpo,Não,26,1,75,1
Lago Norte,2025-07-19,12-18h,Todos,Nublado,Não,10,9,5,8
Sudoeste/Octogonal,2025-07-12,00-06h,Furto,Nublado,Não,2,3,90,9
Plano Piloto,2025-07-02,18-23h,Furto,Nublado,Não,14,7,17,4
Recanto das Emas,2025-07-21,12-18h,Furto,Chuva,Não,30,13,97,10
Gama,2025-07-12,06-12h,Vandalismo,Nublado,Não,5,12,63,2
Santa Maria,2025-07-06,06-12h,Furto,Céu limpo,Não,6,14,60,1
Park Way,2025-07-13,18-23h,Todos,Céu limpo,Não,25,1,9,1
Plano Piloto,2025-07-02,00-06h,Furto,Céu limpo,Sim,23,11,48,8
Vicente Pires,2025-06-22,00-06h,Furto,Nublado,Sim,4,2,55,0
Ceilândia,2025-07-21,06-12h,Todos,Céu limpo,Sim,26,8,32,3
Jardim Botânico,2025-06-21,00-06h,Todos,Nublado,Não,9,10,19,1
Sobradinho,2025-07-02,18-23h,Furto,Chuva,Não,23,4,28,4
SIA,2025-06-25,18-23h,Roubo,Nublado,Não,0,7,13,10
Lago Sul,2025-07-19,06-12h,Roubo,Chuva,Sim,28,10,16,2
Brazlândia,2025-07-18,12-18h,Furto,Nublado,Não,5,1,51,10
Arniqueira,2025-06-22,12-18h,Todos,Céu limpo,Não,30,12,8,1
Guará,2025-06-24,00-06h,Vandalismo,Céu limpo,Sim,26,9,94,3
Sudoeste/Octogonal,2025-07-08,12-18h,Furto,Nublado,Não,6,15,91,9
Guará,2025-07-15,18-23h,Roubo,Chuva,Sim,8,3,88,9
Sobradinho,2025-07-12,12-18h,Roubo,Chuva,Não,24,6,4,4
Cruzeiro,2025-07-20,18-23h,Roubo,Céu limpo,Não,21,11,68,5
Guará,2025-07-07,12-18h,Todos,Chuva,Sim,0,11,72,9
Vicente Pires,2025-07-02,12-18h,Roubo,Céu limpo,Sim,22,1,0,2
Cruzeiro,2025-07-13,00-06h,Todos,Céu limpo,Não,2,2,22,4
SCIA/Estrutural,2025-06-30,00-06h,Roubo,Nublado,Sim,21,11,69,1
Ceilândia,2025-07-10,06-12h,Furto,Chuva,Sim,5,9,11,0
Sobradinho,2025-07-03,00-06h,Todos,Céu limpo,Sim,25,13,53,8
SCIA/Estrutural,2025-06-25,12-18h,Roubo,Céu limpo,Sim,9,12,93,2
Itapoã,2025-07-15,12-18h,Roubo,Chuva,Sim,27,2,21,7
Asa Norte,2025-07-07,00-06h,Vandalismo,Nublado,Sim,14,14,72,6
Ceilândia,2025-06-26,18-23h,Furto,Céu limpo,Não,2,11,26,8
Vicente Pires,2025-07-09,18-23h,Vandalismo,Céu limpo,Não,13,7,83,5
Lago Sul,2025-07-18,06-12h,Roubo,Nublado,Sim,25,13,33,0
Samambaia,2025-07-01,00-06h,Todos,Céu limpo,Não,11,5,77,8
Planaltina,2025-07-13,06-12h,Todos,Chuva,Sim,26,15,81,5
Asa Sul,2025-07-20,12-18h,Roubo,Chuva,Sim,17,15,21,7
Planaltina,2025-06-24,00-06h,Furto,Chuva,Não,22,15,63,3
Gama,2025-07-04,18-23h,Roubo,Céu limpo,Não,0,10,89,6
Park Way,2025-06-23,18-23h,Furto,Céu limpo,Sim,19,0,33,7
Sobradinho,2025-07-01,18-23h,Todos,Chuva,Não,1,4,35,9
Riacho Fundo II,2025-07-21,00-06h,Roubo,Chuva,Não,15,2,85,10
Samambaia,2025-06-27,00-06h,Furto,Chuva,Não,6,12,16,7
Planaltina,2025-06-28,00-06h,Roubo,Nublado,Não,25,10,36,3
Riacho Fundo II,2025-06-26,00-06h,Furto,Céu limpo,Sim,18,14,37,6
Lago Sul,2025-07-13,18-23h,Vandalismo,Chuva,Sim,21,4,35,6
São Sebastião,2025-07-17,00-06h,Furto,Céu limpo,Não,30,6,98,4
Lago Sul,2025-06-29,12-18h,Roubo,Nublado,Sim,1,12,31,10
Riacho Fundo II,2025-06-29,12-18h,Furto,Nublado,Não,3,14,10,1
Varjão,2025-07-03,18-23h,Todos,Céu limpo,Sim,9,6,52,0
SIA,2025-06-30,12-18h,Furto,Nublado,Não,29,5,57,9
Riacho Fundo II,2025-06-22,06-12h,Todos,Chuva,Não,24,4,60,5
Cruzeiro,2025-07-17,00-06h,Roubo,Nublado,Não,6,1,75,4
Samambaia,2025-07-06,12-18h,Vandalismo,Nublado,Não,20,5,8,7
Vicente Pires,2025-06-26,06-12h,Furto,Chuva,Sim,9,6,18,8
Vicente Pires,2025-06-27,00-06h,Furto,Nublado,Não,8,0,75,2
Lago Sul,2025-07-13,00-06h,Todos,Nublado,Não,15,13,4,8
Arniqueira,2025-07-18,12-18h,Furto,Chuva,Não,26,12,22,5
Planaltina,2025-07-13,00-06h,Todos,Céu limpo,Sim,8,2,42,1
Vicente Pires,2025-06-21,12-18h,Todos,Chuva,Sim,28,6,89,7
Asa Norte,2025-07-11,00-06h,Roubo,Céu limpo,Sim,27,5,6,6
São Sebastião,2025-07-10,00-06h,Roubo,Nublado,Sim,30,4,47,0
Brazlândia,2025-06-27,06-12h,Todos,Céu limpo,Não,14,13,40,7
São Sebastião,2025-06-22,06-12h,Todos,Chuva,Sim,18,4,28,10
Guará,2025-06-21,06-12h,Furto,Nublado,Não,8,4,74,6
Jardim Botânico,2025-07-01,18-23h,Vandalismo,Céu limpo,Sim,15,11,43,0
Sol Nascente/Pôr do Sol,2025-07-17,12-18h,Furto,Chuva,Não,0,3,26,1
Sobradinho,2025-06-28,00-06h,Vandalismo,Céu limpo,Sim,24,14,78,3
São Sebastião,2025-07-18,00-06h,Vandalismo,Céu limpo,Sim,19,12,8,9
Lago Norte,2025-07-17,18-23h,Vandalismo,Céu limpo,Sim,3,2,62,7
São Sebastião,2025-07-08,18-23h,Furto,Céu limpo,Sim,10,11,75,1
Asa Sul,2025-06-28,12-18h,Todos,Chuva,Não,25,9,22,1
Cruzeiro,2025-07-01,06-12h,Furto,Nublado,Sim,19,13,93,0
Águas Claras,2025-07-12,06-12h,Roubo,Chuva,Sim,11,6,45,1
Riacho Fundo,2025-06-29,00-06h,Todos,Céu limpo,Não,29,13,57,7
Águas Claras,2025-06-22,18-23h,Vandalismo,Chuva,Sim,15,4,15,7
Brazlândia,2025-07-03,18-23h,Todos,Nublado,Sim,10,12,43,7
Sol Nascente/Pôr do Sol,2025-07-07,12-18h,Todos,Chuva,Sim,4,3,41,9
Ceilândia,2025-07-20,06-12h,Furto,Nublado,Sim,11,11,37,2
SIA,2025-07-03,06-12h,Roubo,Chuva,Não,3,2,56,3
Gama,2025-07-19,18-23h,Furto,Nublado,Não,9,7,39,0
Taguatinga,2025-07-18,12-18h,Roubo,Nublado,Não,0,5,66,0
Ceilândia,2025-07-19,18-23h,Furto,Nublado,Sim,16,7,35,9
Planaltina,2025-07-03,18-23h,Vandalismo,Nublado,Sim,1,0,74,10
Guará,2025-06-22,18-23h,Vandalismo,Chuva,Sim,20,5,7,9
Riacho Fundo II,2025-07-02,06-12h,Vandalismo,Nublado,Sim,29,14,20,2
São Sebastião,2025-07-04,06-12h,Todos,Chuva,Não,23,8,66,5
Sol Nascente/Pôr do Sol,2025-07-09,06-12h,Roubo,Chuva,Sim,20,8,86,10
Lago Sul,2025-06-27,00-06h,Vandalismo,Nublado,Sim,22,7,44,10
Lago Sul,2025-07-06,18-23h,Roubo,Chuva,Sim,4,9,63,5
Recanto das Emas,2025-07-19,12-18h,Roubo,Céu limpo,Sim,1,11,32,7
Sobradinho,2025-06-23,06-12h,Roubo,Chuva,Sim,2,0,20,0
Vicente Pires,2025-07-12,00-06h,Vandalismo,Nublado,Não,24,0,61,0
Asa Norte,2025-06-22,12-18h,Furto,Nublado,Sim,9,10,85,8
Taguatinga,2025-06-22,18-23h,Todos,Nublado,Sim,20,12,88,6
Arniqueira,2025-07-08,12-18h,Furto,Chuva,Sim,15,10,72,6
SIA,2025-06-28,06-12h,Roubo,Céu limpo,Sim,25,7,35,0
Itapoã,2025-06-25,06-12h,Roubo,Nublado,Não,28,14,84,1
Águas Claras,2025-07-16,12-18h,Todos,Nublado,Não,8,0,23,7
SCIA/Estrutural,2025-07-11,06-12h,Vandalismo,Nublado,Não,22,12,5,6
Gama,2025-06-29,00-06h,Todos,Nublado,Sim,0,12,22,8
Itapoã,2025-07-03,00-06h,Furto,Céu limpo,Não,5,4,78,4
Fercal,2025-06-30,18-23h,Vandalismo,Nublado,Não,14,4,21,1
SIA,2025-07-21,00-06h,Furto,Céu limpo,Não,9,14,39,4
Sobradinho II,2025-07-17,18-23h,Roubo,Chuva,Não,0,15,92,6
Asa Norte,2025-06-22,18-23h,Todos,Céu limpo,Sim,7,10,66,8
Planaltina,2025-07-21,00-06h,Todos,Chuva,Sim,13,14,76,1
Lago Sul,2025-07-20,12-18h,Todos,Nublado,Sim,14,3,82,6
Sobradinho II,2025-07-01,06-12h,Vandalismo,Chuva,Não,0,7,21,9
Sobradinho II,2025-07-10,00-06h,Todos,Céu limpo,Não,6,14,2,1
Sol Nascente/Pôr do Sol,2025-06-30,18-23h,Vandalismo,Nublado,Não,13,1,71,5
São Sebastião,2025-06-22,06-12h,Furto,Nublado,Não,15,5,44,10
Itapoã,2025-06-21,06-12h,Furto,Chuva,Sim,16,12,0,3
Sol Nascente/Pôr do Sol,2025-06-27,12-18h,Vandalismo,Chuva,Não,5,7,37,0
Sol Nascente/Pôr do Sol,2025-07-13,00-06h,Todos,Chuva,Não,25,7,35,6
SIA,2025-07-19,06-12h,Vandalismo,Céu limpo,Não,7,10,96,1
Brazlândia,2025-07-07,00-06h,Furto,Nublado,Não,17,3,31,7
Riacho Fundo,2025-07-06,00-06h,Roubo,Chuva,Não,28,6,21,0
São Sebastião,2025-07-06,06-12h,Vandalismo,Chuva,Não,7,9,65,9
SCIA/Estrutural,2025-07-07,12-18h,Roubo,Céu limpo,Sim,22,15,19,9
